beta,unknown,condition,crossings,n_cross,n_wrong_cross,wrong_theta_ticks,wrong_theta_task_ticks,correct_theta_ticks,max_conf,reveals,unknown_when_idle,coffee_max_seg2,coffee_theta_ticks_seg2,deliver_max_seg2,item6_3a_end,item6_3b_start_end,item6_3b_falls,max_task_seg3,unknown_end_seg3,ac_max_184_271,ac_most_likely_ticks_184_271,at_272
0.014,0.2,s30_on,20:d(item_3),1,0,49,0,91,0.995,"d(item_3):20(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.014,0.2,s00_on,10:d(item_3),1,0,66,0,93,0.995,"d(item_3):10(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.02,0.05,s40_on,10:d(item_3) 121:coffee 205:unknown,3,0,164,60,193,0.993,"d(item_3):10(pre-grasp,grasp 60) coffee:121(no-grasp,grasp None) d(item_6):never(max 0.00)",0.338,0.947,63,0.001,0.001,0.001->0.001,True,0.947,0.993,0.947,17,unknown 0.993 (item_6 0.001)
0.02,0.05,s30_on,12:d(item_3),1,0,49,0,97,0.995,"d(item_3):12(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.02,0.05,s00_on,6:d(item_3),1,0,66,0,98,0.995,"d(item_3):6(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.02,0.07,s40_on,10:d(item_3) 121:coffee 204:unknown,3,0,162,58,194,0.993,"d(item_3):10(pre-grasp,grasp 60) coffee:121(no-grasp,grasp None) d(item_6):never(max 0.00)",0.361,0.929,63,0.001,0.001,0.001->0.001,True,0.929,0.993,0.929,16,unknown 0.993 (item_6 0.001)
0.02,0.07,s30_on,12:d(item_3),1,0,49,0,97,0.995,"d(item_3):12(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.02,0.07,s00_on,6:d(item_3),1,0,66,0,98,0.995,"d(item_3):6(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.02,0.1,s40_on,11:d(item_3) 122:coffee 203:unknown,3,0,161,57,193,0.993,"d(item_3):11(pre-grasp,grasp 60) coffee:122(no-grasp,grasp None) d(item_6):never(max 0.00)",0.389,0.904,62,0.001,0.001,0.001->0.001,True,0.904,0.993,0.904,14,unknown 0.993 (item_6 0.001)
0.02,0.1,s30_on,13:d(item_3),1,0,49,0,96,0.995,"d(item_3):13(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.02,0.1,s00_on,6:d(item_3),1,0,66,0,98,0.995,"d(item_3):6(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.02,0.14,s40_on,12:d(item_3) 122:coffee 202:unknown,3,0,159,55,193,0.993,"d(item_3):12(pre-grasp,grasp 60) coffee:122(no-grasp,grasp None) d(item_6):never(max 0.00)",0.42,0.872,62,0.001,0.001,0.001->0.001,True,0.872,0.993,0.872,13,unknown 0.993 (item_6 0.001)
0.02,0.14,s30_on,14:d(item_3),1,0,49,0,95,0.995,"d(item_3):14(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.02,0.14,s00_on,7:d(item_3),1,0,66,0,96,0.995,"d(item_3):7(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.02,0.2,s40_on,13:d(item_3) 123:coffee 201:unknown,3,0,157,53,192,0.993,"d(item_3):13(pre-grasp,grasp 60) coffee:123(no-grasp,grasp None) d(item_6):never(max 0.00)",0.458,0.828,61,0.001,0.001,0.001->0.001,True,0.828,0.993,0.828,12,unknown 0.993 (item_6 0.001)
0.02,0.2,s30_on,16:d(item_3),1,0,49,0,93,0.995,"d(item_3):16(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.02,0.2,s00_on,8:d(item_3),1,0,66,0,95,0.995,"d(item_3):8(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
