condition,step,hypothesis,expected_action,excess_cm,base,belief,walked_cm
s00_off,54,d(item_4),move_to(?target=shelf_3),439.0,2.9e-05,0.001,220.0
s00_off,54,d(item_6),move_to(?target=shelf_3),439.0,0.021134,0.0052,220.0
s00_off,55,d(item_2),move_to(?target=shelf_3),479.0,1e-06,0.001,240.0
s00_off,55,d(item_3),move_to(?target=kitting_table_0),0.0,0.099551,0.9925,260.0
s00_off,55,d(item_4),move_to(?target=shelf_3),479.0,2.9e-05,0.001,240.0
s00_off,55,d(item_6),move_to(?target=shelf_3),479.0,0.02117,0.0035,240.0
s00_off,56,d(item_2),move_to(?target=shelf_3),519.0,1e-06,0.001,260.0
s00_off,56,d(item_3),move_to(?target=kitting_table_0),0.0,0.099665,0.9937,280.0
s00_off,56,d(item_4),move_to(?target=shelf_3),519.0,3e-05,0.001,260.0
s00_off,56,d(item_6),move_to(?target=shelf_3),519.0,0.021194,0.0023,260.0
s00_off,57,d(item_2),move_to(?target=shelf_3),559.0,1e-06,0.001,280.0
s00_off,57,d(item_3),move_to(?target=kitting_table_0),0.0,0.099742,0.9944,300.0
s00_off,57,d(item_4),move_to(?target=shelf_3),559.0,3e-05,0.001,280.0
s00_off,57,d(item_6),move_to(?target=shelf_3),559.0,0.02121,0.0016,280.0
s00_off,58,d(item_2),move_to(?target=shelf_3),598.9,1e-06,0.001,300.0
s00_off,58,d(item_3),move_to(?target=kitting_table_0),0.0,0.099794,0.995,320.0
s00_off,58,d(item_4),move_to(?target=shelf_3),598.9,3e-05,0.001,300.0
s00_off,58,d(item_6),move_to(?target=shelf_3),598.9,0.021221,0.0011,300.0
s00_off,59,d(item_2),move_to(?target=shelf_3),638.9,1e-06,0.001,320.0
s00_off,59,d(item_3),move_to(?target=kitting_table_0),0.0,0.099829,0.995,340.0
s00_off,59,d(item_4),move_to(?target=shelf_3),638.9,3e-05,0.001,320.0
s00_off,59,d(item_6),move_to(?target=shelf_3),638.9,0.021229,0.001,320.0
s00_off,60,d(item_2),move_to(?target=shelf_3),678.9,1e-06,0.001,340.0
s00_off,60,d(item_3),move_to(?target=kitting_table_0),0.0,0.099852,0.995,360.0
s00_off,60,d(item_4),move_to(?target=shelf_3),678.9,3e-05,0.001,340.0
s00_off,60,d(item_6),move_to(?target=shelf_3),678.9,0.021234,0.001,340.0
s00_off,61,d(item_2),move_to(?target=shelf_3),718.9,1e-06,0.001,360.0
s00_off,61,d(item_3),move_to(?target=kitting_table_0),0.0,0.099868,0.995,380.0
