ticks: base 379 new 379  eps=0.0005
  -[meta-proj] confidence=0.926 theta=0.750 projection=built
  -[meta-cand] deliver_item(?item=item_4,?kitting_table=kitting_table_0) cost=47 feasible=True conflicts=351 min_dist=562.6915416813517
  +[meta-proj] confidence=0.762 theta=0.750 projection=built
  +[meta-cand] deliver_item(?item=item_4,?kitting_table=kitting_table_0) cost=126 feasible=True conflicts=1957 min_dist=539.3838241912404
  +[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=138 feasible=True conflicts=1957 min_dist=493.7680674564379
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=145 feasible=True conflicts=1958 min_dist=646.6475885544559
  +[meta] step=19 trigger=theta_crossed winner=deliver_item{'?item': 'item_4', '?kitting_table': 'kitting_table_0'} queue=["deliver_item{'?item': 'item_7', '?kitting_table': 'kitting_table_0'}", "deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'}"]
  +[meta-proj] confidence=0.904 theta=0.750 projection=built
  +[meta-cand] deliver_item(?item=item_4,?kitting_table=kitting_table_0) cost=47 feasible=True conflicts=351 min_dist=562.6915416813515
  -[meta-proj] confidence=0.517 theta=0.750 projection=none(below_theta)
  +[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  -[meta-proj] confidence=0.494 theta=0.750 projection=none(below_theta)
  +[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  -[meta-proj] confidence=0.563 theta=0.750 projection=none(below_theta)
  +[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  -[meta-proj] confidence=0.663 theta=0.750 projection=none(below_theta)
  +[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  -[meta-proj] confidence=0.767 theta=0.750 projection=built
  -[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=50 feasible=True conflicts=109 min_dist=882.2022530315634
  -[meta] step=326 trigger=theta_crossed winner=deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'} queue=[]
  -[meta-proj] confidence=0.645 theta=0.750 projection=none(below_theta)
  +[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
