step,segment,human_task,human_action,human_action_index,human_micro,human_x,human_y,human_holding,robot_task,robot_holding,ir_called,most_likely,confidence,p_item_3,p_item_6,p_item_4,p_item_7,p_item_5,p_ac_activation,p_coffee_break,p_unknown
96,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-318.8,315.4,item_3,deliver_item,,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
97,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-301.5,325.4,item_3,deliver_item,item_4,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
98,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-284.2,335.4,item_3,deliver_item,item_4,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
99,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-266.9,345.4,item_3,deliver_item,item_4,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
100,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-249.6,355.5,item_3,deliver_item,item_4,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
101,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-232.2,365.5,item_3,deliver_item,item_4,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
102,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-214.9,375.5,item_3,deliver_item,item_4,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
103,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-197.6,385.5,item_3,deliver_item,item_4,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
104,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-180.3,395.6,item_3,deliver_item,item_4,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
105,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-163.0,405.6,item_3,deliver_item,item_4,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
106,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-145.7,415.6,item_3,deliver_item,item_4,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
107,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-128.4,425.6,item_3,deliver_item,item_4,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
108,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-111.1,435.7,item_3,deliver_item,item_4,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
109,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-93.8,445.7,item_3,deliver_item,item_4,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
110,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-76.5,455.7,item_3,deliver_item,item_4,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
111,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-59.2,465.7,item_3,deliver_item,item_4,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
112,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,2,step,-41.9,475.7,item_3,deliver_item,item_4,True,item_3,0.5691,0.5691,0.001,0.001,0.001,0.001,0.1423,0.1423,0.1423
